store_id,store_name,city,state
c0474d8d-97e1-4c58-a9e3-5aa80c5a4829,Colon-Wagner,Lake Anthonystad,New York
c45c9eb4-af8f-4e19-8cbb-d2f0134f79db,"Griffin, Horne and Wells",Maxview,West Virginia
fecb2175-248c-490e-bcc2-3643fadf8ff0,"Davis, Johnson and Williams",Port Jeffrey,Iowa
1f1c86c1-6191-4fe7-a0c7-5b4e51faf79d,"Clark, Pearson and Palmer",South Rhondaburgh,Rhode Island
66bd0f1e-bb5a-4497-b2ba-c5d8986f5a63,Walker PLC,Jenniferview,Nevada
69d6f82d-95d6-4c0d-8d9e-0834db4a463f,York-Stevens,South Kevin,North Dakota
775be3e5-a37b-4c52-9fc8-ae9cbf762ce4,"Sanders, Garcia and Hunt",Annaport,Maryland
588807d0-de13-43d9-964d-10b25922179c,"Rodriguez, Brown and Mcneil",Michelleview,Tennessee
26532bad-636c-4868-a426-749a55575659,"Farley, Curtis and Lopez",North Linda,Rhode Island
1bc4bab9-b73e-46eb-9ea6-c8f1479049bb,Guerrero-Becker,Lake Tylerport,Kentucky
